effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),-2.576144059745173,0.24860446769095348,-10.362420610025573,7.703774609259693,8.572465162775181e-6,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,sd__(Intercept),0.6795740604488963,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,cor__(Intercept).cwc_centered,-0.9999999302051521,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,sd__cwc_centered,0.2618787130908147,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,site,sd__(Intercept),0.14165296015271098,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,Residual,sd__Observation,0.3926648995044007,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,(Intercept),-2.936811487691481,0.28996873265035267,-10.128028152720587,7.062875288273951,1.851139002641303e-5,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,cwc,-1.4810229802887662,1.3784495087543291,-1.0744122079793335,200.3898273428055,0.28392997051015695,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,time_seasonbefore leafout,0.8885346326545146,0.39556630852655966,2.2462343569254086,6.18778998331963,0.06444690261768989,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__(Intercept),0.20538583526621684,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,cor__(Intercept).cwc,-0.9999999999649672,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__cwc,1.8233596886732601,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,sd__(Intercept),0.5512255816350743,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,site,sd__(Intercept),0.18049125264267973,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,Residual,sd__Observation,0.3467673803531474,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,(Intercept),-2.936811487691481,0.28996873265035267,-10.128028152720587,7.062875288273951,1.851139002641303e-5,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,cwc,-1.4810229802887662,1.3784495087543291,-1.0744122079793335,200.3898273428055,0.28392997051015695,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
fixed,NA,time_seasonbefore leafout,0.8885346326545146,0.39556630852655966,2.2462343569254086,6.18778998331963,0.06444690261768989,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__(Intercept),0.20538583526621684,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,cor__(Intercept).cwc,-0.9999999999649672,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,tree,sd__cwc,1.8233596886732601,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,week,sd__(Intercept),0.5512255816350743,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,site,sd__(Intercept),0.18049125264267973,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
ran_pars,Residual,sd__Observation,0.3467673803531474,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwc
NA,NA,NA,NA,NA,NA,NA,NA,space,236,0.3362286443699528,-126.29421299649096,266.5884259929819,290.8352486281612,252.5884259929819,229,NA,0.005241352842230683,0.8145403028133799,cwc
NA,NA,NA,NA,NA,NA,NA,NA,time,235,0.3467673803531474,-119.71140542896046,257.4228108579209,288.5590804852184,NA,226,239.42281085792092,0.26833596406502913,0.8179314219139316,cwc
NA,NA,NA,NA,NA,NA,NA,NA,interaction,235,0.34678726841126617,-117.85657671083067,255.71315342166133,290.3090085631029,NA,225,235.71315342166133,0.2655513043959493,0.8198521105665839,cwc
